Flow_ID,Client_IP_1,Client_IP_2,Client_IP_3,Client_IP_4,Client_IP,Client_Port,Server_IP_1,Server_IP_2,Server_IP_3,Server_IP_4,Server_IP,Server_Port,Transport,Start,End,Duration,Frames,Payload_Bytes,TCP_Flags,File_ID,Gannt_Chart
0,244,3,160,239,4093878511,80,244,3,151,202,4093876170,3355,TCP,12/17/2009 16:41,12/17/2009 16:41,00:00.,12,6441,  AP  F,1,
1,75,215,255,201,1272446921,48726,41,177,26,15,699472399,80,TCP,12/17/2009 16:41,12/17/2009 16:41,00:03.,637,436714,  APR  ,1,
2,41,177,211,160,699519904,1368,41,177,98,176,699490992,80,TCP,12/17/2009 16:41,12/17/2009 16:41,00:42.,108,68944,  APR F,1,
3,41,177,241,108,699527532,3389,244,3,93,198,4093861318,4112,TCP,12/17/2009 16:41,12/17/2009 16:46,04:57.,4529,1507901,  AP   ,1,
4,244,3,160,239,4093878511,40878,40,248,176,156,687386780,80,TCP,12/17/2009 16:41,12/17/2009 16:41,00:01.,90,75765,  AP  F,1,
5,68,157,168,145,1151182993,45310,41,177,26,176,699472560,80,TCP,12/17/2009 16:41,12/17/2009 16:41,00:11.,62,24023,  AP  F,1,
7,117,194,90,57,1975671353,4822,244,3,160,239,4093878511,80,TCP,12/17/2009 16:41,12/17/2009 16:41,00:04.,169,114341,  AP  F,1,
8,193,135,161,57,3246891321,62747,41,177,26,46,699472430,80,TCP,12/17/2009 16:41,12/17/2009 16:43,02:18.,8370,7827292,  AP  F,1,
10,124,39,24,160,2082936992,15577,41,177,26,176,699472560,80,TCP,12/17/2009 16:41,12/17/2009 16:41,00:47.,51,25483,  AP  F,1,
11,41,177,98,220,699491036,7010,244,3,79,103,4093857639,3437,TCP,12/17/2009 16:41,12/17/2009 16:45,04:48.,896,168566,  AP   ,1,
12,77,197,128,150,1304789142,32857,41,177,26,91,699472475,80,TCP,12/17/2009 16:41,12/17/2009 16:41,00:01.,24,18455,  APRS,1,
17,194,66,204,103,3259157607,1656,244,3,41,84,4093847892,23,TCP,12/17/2009 16:41,12/17/2009 16:41,00:00.,5,2493,  AP   ,1,
