Flow_ID,Client_IP_1,Client_IP_2,Client_IP_3,Client_IP_4,Client_IP,Client_Port,Server_IP_1,Server_IP_2,Server_IP_3,Server_IP_4,Server_IP,Server_Port,Transport,Start,End,Duration,Frames,Payload_Bytes,TCP_Flags,File_ID,Gannt_Chart
0,41,177,117,184,699495864,1618,41,177,3,224,699466720,51332,TCP,12/17/2009 16:26,12/17/2009 16:30,04:19.,144,59197,  AP   ,1,
1,90,218,72,95,1524254815,10749,244,3,160,239,4093878511,80,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,12,4711,  AP  F,1,
2,244,3,160,239,4093878511,33224,197,154,128,197,3315237061,80,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,13,4660,  AP SF,1,
3,244,253,127,211,4110254035,2232,244,3,210,197,4093891269,80,TCP,12/17/2009 16:26,12/17/2009 16:28,02:15.,149,122373,  APR  ,1,
4,15,71,149,241,256349681,48226,41,177,26,15,699472399,80,TCP,12/17/2009 16:26,12/17/2009 16:26,00:02.,849,1054904,  APR  ,1,
5,41,177,3,224,699466720,9809,244,3,176,149,4093882517,1869,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,7,367,  AP  F,1,
6,90,218,72,95,1524254815,9210,244,3,160,239,4093878511,80,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,10,1803,  AP SF,1,
7,244,253,127,211,4110254035,2233,244,3,210,197,4093891269,80,TCP,12/17/2009 16:26,12/17/2009 16:28,02:15.,117,90034,  APR  ,1,
8,254,142,106,160,4270746272,80,244,3,160,239,4093878511,33223,TCP,12/17/2009 16:26,12/17/2009 16:26,00:01.,10,1370,  AP SF,1,
9,244,3,176,149,4093882517,8752,41,177,3,224,699466720,52479,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,11,2201,  APR F,1,
10,244,3,160,239,4093878511,33225,197,154,128,197,3315237061,80,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,10,1751,  AP SF,1,
11,210,197,167,105,3536168809,3237,41,177,26,15,699472399,80,TCP,12/17/2009 16:26,12/17/2009 16:31,05:45.,13804,12017784,  AP   ,1,
12,92,188,204,106,1555876970,80,244,3,160,239,4093878511,33218,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,7,445,  AP  F,1,
13,41,177,3,224,699466720,39924,41,177,117,184,699495864,1618,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,66,20802,  AP   ,1,
15,244,3,160,239,4093878511,80,90,218,72,95,1524254815,9146,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,7,379,  AP  F,1,
16,244,155,128,186,4103831738,3170,244,3,210,197,4093891269,80,TCP,12/17/2009 16:26,12/17/2009 16:27,01:01.,28,22364,  APR  ,1,
17,244,155,128,186,4103831738,3169,244,3,210,197,4093891269,80,TCP,12/17/2009 16:26,12/17/2009 16:27,01:01.,15,6431,  APR  ,1,
18,244,3,167,79,4093880143,53720,244,3,41,84,4093847892,23,TCP,12/17/2009 16:26,12/17/2009 16:27,01:26.,76,25480,  AP   ,1,
19,244,253,127,211,4110254035,2212,244,3,210,197,4093891269,80,TCP,12/17/2009 16:26,12/17/2009 16:28,02:15.,161,131575,  APR  ,1,
24,90,218,72,95,1524254815,2624,244,3,160,239,4093878511,80,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,13,3793,  AP SF,1,
26,244,3,153,239,4093876719,2091,244,3,176,118,4093882486,3389,TCP,12/17/2009 16:26,12/17/2009 16:31,05:27.,1331,248305,  AP   ,1,
27,41,177,31,98,699473762,22,244,3,153,142,4093876622,49633,TCP,12/17/2009 16:26,12/17/2009 16:31,05:38.,108,9368,  AP   ,1,
29,41,177,26,176,699472560,80,77,197,128,108,1304789100,26594,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,30,24740,  APR  ,1,
31,244,3,160,239,4093878511,33226,197,154,128,197,3315237061,80,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,12,3742,  AP SF,1,
32,244,3,77,194,4093857218,4527,244,3,41,84,4093847892,23,TCP,12/17/2009 16:26,12/17/2009 16:28,02:42.,228,58207,  AP   ,1,
33,48,244,75,47,821316399,7773,244,3,210,197,4093891269,80,TCP,12/17/2009 16:26,12/17/2009 16:27,01:36.,17,6472,  APR  ,1,
36,90,218,72,95,1524254815,6132,244,3,160,239,4093878511,80,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,10,1730,  AP SF,1,
38,41,177,3,224,699466720,50371,41,177,117,184,699495864,1605,TCP,12/17/2009 16:26,12/17/2009 16:31,05:40.,233,67212,  AP   ,1,
39,41,177,3,224,699466720,51330,41,177,117,184,699495864,1618,TCP,12/17/2009 16:26,12/17/2009 16:31,05:36.,185,87781,  AP   ,1,
41,41,177,26,176,699472560,80,77,197,128,18,1304789010,39756,TCP,12/17/2009 16:26,12/17/2009 16:26,00:00.,18,11286,  APR  ,1,
