Flow_ID,Client_IP_1,Client_IP_2,Client_IP_3,Client_IP_4,Client_IP,Client_Port,Server_IP_1,Server_IP_2,Server_IP_3,Server_IP_4,Server_IP,Server_Port,Transport,Start,End,Duration,Frames,Payload_Bytes,TCP_Flags,File_ID,Gannt_Chart
1,41,177,98,220,699491036,7010,244,3,79,176,4093857712,1689,TCP,12/17/2009 16:31,12/17/2009 16:35,04:09.,581,121663,  AP   ,1,
2,77,197,128,31,1304789023,11472,41,177,26,176,699472560,80,TCP,12/17/2009 16:31,12/17/2009 16:31,00:00.,13,7237,  APR  ,1,
3,210,197,167,105,3536168809,3237,41,177,26,15,699472399,80,TCP,12/17/2009 16:31,12/17/2009 16:37,05:37.,12634,10987132,  AP   ,1,
4,176,41,89,90,2955499866,80,244,3,160,239,4093878511,33132,TCP,12/17/2009 16:31,12/17/2009 16:32,00:23.,230,183801,  AP  F,1,
5,244,3,160,239,4093878511,80,68,33,164,161,1143055521,6607,TCP,12/17/2009 16:31,12/17/2009 16:32,00:22.,234,183801,  AP  F,1,
7,244,3,93,198,4093861318,4112,41,177,241,108,699527532,3389,TCP,12/17/2009 16:31,12/17/2009 16:37,05:37.,641,17237,  AP   ,1,
8,41,177,3,224,699466720,50371,41,177,117,184,699495864,1605,TCP,12/17/2009 16:31,12/17/2009 16:37,05:35.,231,67212,  AP   ,1,
9,41,177,26,176,699472560,80,77,197,128,180,1304789172,15390,TCP,12/17/2009 16:31,12/17/2009 16:31,00:00.,14,11169,  APR  ,1,
13,122,39,210,202,2049430218,1239,41,177,26,176,699472560,80,TCP,12/17/2009 16:31,12/17/2009 16:31,00:01.,10,3531,  APR F,1,
18,244,3,160,239,4093878511,35258,176,41,89,121,2955499897,80,TCP,12/17/2009 16:31,12/17/2009 16:31,00:03.,47,33151,  AP  F,1,
19,41,177,26,176,699472560,80,77,197,128,251,1304789243,37314,TCP,12/17/2009 16:31,12/17/2009 16:31,00:00.,15,11702,  APR  ,1,
20,41,177,26,176,699472560,80,68,157,168,15,1151182863,60831,TCP,12/17/2009 16:31,12/17/2009 16:33,01:52.,11,4344,  AP  F,1,
21,244,3,41,84,4093847892,2671,244,3,31,67,4093845315,1593,TCP,12/17/2009 16:31,12/17/2009 16:32,00:33.,43,17491,  AP   ,1,
22,244,3,79,176,4093857712,1686,41,177,98,167,699490983,1521,TCP,12/17/2009 16:31,12/17/2009 16:35,04:08.,2214,211109,  AP   ,1,
24,77,197,128,164,1304789156,38002,41,177,26,176,699472560,80,TCP,12/17/2009 16:31,12/17/2009 16:31,00:01.,21,11355,  APRS,1,
26,244,3,153,142,4093876622,51985,41,177,24,241,699472113,993,TCP,12/17/2009 16:31,12/17/2009 16:35,03:44.,22,1177,  AP   ,1,
27,253,213,108,145,4258622609,1509,253,37,253,43,4247125291,23,TCP,12/17/2009 16:31,12/17/2009 16:37,05:34.,611,132047,  AP   ,1,
29,41,177,26,176,699472560,80,122,39,210,202,2049430218,27090,TCP,12/17/2009 16:31,12/17/2009 16:36,05:05.,8,11040,  A    ,1,
31,41,177,26,176,699472560,80,77,197,128,139,1304789131,47000,TCP,12/17/2009 16:31,12/17/2009 16:31,00:00.,15,11267,  APR  ,1,
32,253,37,253,43,4247125291,23,253,213,108,75,4258622539,2093,TCP,12/17/2009 16:31,12/17/2009 16:36,05:07.,153,33973,  AP   ,1,
33,77,197,128,31,1304789023,11631,41,177,26,176,699472560,80,TCP,12/17/2009 16:31,12/17/2009 16:31,00:01.,20,13178,  APRS,1,
42,41,106,176,15,694857743,40950,41,177,241,46,699527470,443,TCP,12/17/2009 16:31,12/17/2009 16:37,05:21.,190,10082,  AP   ,1,
44,244,3,34,248,4093846264,60262,244,3,31,124,4093845372,443,TCP,12/17/2009 16:31,12/17/2009 16:31,00:00.,24,2346,  AP SF,1,
46,41,177,93,203,699489739,1133,244,3,41,84,4093847892,23,TCP,12/17/2009 16:31,12/17/2009 16:33,01:39.,56,15300,  AP   ,1,
50,151,77,15,128,2538409856,1123,41,177,241,46,699527470,443,TCP,12/17/2009 16:31,12/17/2009 16:37,05:34.,70,1155,  AP   ,1,
51,41,106,180,204,694858956,58774,41,177,241,46,699527470,443,TCP,12/17/2009 16:31,12/17/2009 16:37,05:37.,189,9770,  AP   ,1,
53,41,177,26,15,699472399,80,68,157,168,224,1151183072,57805,TCP,12/17/2009 16:31,12/17/2009 16:31,00:06.,159,121976,  AP  F,1,
60,41,106,176,15,694857743,21398,41,177,241,46,699527470,443,TCP,12/17/2009 16:31,12/17/2009 16:37,05:37.,128,6669,  AP   ,1,
62,193,77,145,67,3243086147,3726,41,177,98,176,699490992,80,TCP,12/17/2009 16:31,12/17/2009 16:32,00:41.,55,30783,  APRSF,1,
64,244,3,210,254,4093891326,5900,41,177,244,177,699528369,56182,TCP,12/17/2009 16:31,12/17/2009 16:37,05:36.,1931,283838,  AP   ,1,
65,253,160,251,79,4255185743,1132,253,37,253,43,4247125291,446,TCP,12/17/2009 16:31,12/17/2009 16:31,00:01.,202,117489,  AP SF,1,
66,41,177,241,254,699527678,3389,244,3,93,198,4093861318,1904,TCP,12/17/2009 16:31,12/17/2009 16:37,05:37.,675,6422,  AP   ,1,
67,244,3,210,254,4093891326,5900,41,177,244,185,699528377,51175,TCP,12/17/2009 16:31,12/17/2009 16:37,05:36.,1721,270311,  AP   ,1,
69,244,3,3,241,4093838321,1491,244,3,41,84,4093847892,23,TCP,12/17/2009 16:31,12/17/2009 16:31,00:06.,13,4779,  AP   ,1,
70,41,177,75,71,699484999,63038,41,177,98,220,699491036,7020,TCP,12/17/2009 16:31,12/17/2009 16:32,00:36.,237,38640,  AP  F,1,
72,94,145,155,118,1586600822,1857,244,3,41,84,4093847892,23,TCP,12/17/2009 16:31,12/17/2009 16:32,00:50.,19,7394,  AP   ,1,
73,41,177,3,224,699466720,49020,41,177,117,184,699495864,1606,TCP,12/17/2009 16:31,12/17/2009 16:37,05:35.,227,63864,  AP   ,1,
74,77,55,145,124,1295487356,46443,244,3,210,197,4093891269,80,TCP,12/17/2009 16:31,12/17/2009 16:33,02:10.,21,13440,  APR  ,1,
76,244,3,153,106,4093876586,2239,41,177,24,241,699472113,5222,TCP,12/17/2009 16:31,12/17/2009 16:37,05:30.,16,912,  AP   ,1,
78,26,202,95,117,449470325,43707,41,177,26,176,699472560,80,TCP,12/17/2009 16:31,12/17/2009 16:31,00:01.,25,10996,  APRSF,1,
81,41,177,121,241,699496945,1609,41,177,26,176,699472560,80,TCP,12/17/2009 16:31,12/17/2009 16:32,00:17.,136,95197,  AP SF,1,
